	q0	q1	q2	densidad	velocidad	presion	t	x
500	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.0
501	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.02
502	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.04
503	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.06
504	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.08
505	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.1
506	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.12
507	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.14
508	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.16
509	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.18
510	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.2
511	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.22
512	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.24
513	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.26
514	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.28
515	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.3
516	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.32
517	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.34
518	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.36
519	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.38
520	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.4
521	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.42
522	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.44
523	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.46
524	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.48
525	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.5
526	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.52
527	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.54
528	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.56
529	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.58
530	1.0	1.0	3.0	1.0	1.0	0.9999999999999998	0.0	0.6
531	1.00000001	1.00000001	3.0	1.00000001	1.0	0.9999999979999998	0.0	0.62
532	1.00000001	1.00000001	3.0	1.00000001	1.0	0.9999999979999998	0.0	0.64
533	1.00000001	1.00000001	3.0	1.00000001	1.0	0.9999999979999998	0.0	0.66
534	1.00000001	1.00000001	3.0	1.00000001	1.0	0.9999999979999998	0.0	0.68
535	1.00000001	1.00000001	3.00000001	1.00000001	1.0	1.0000000019999997	0.0	0.7000000000000001
536	1.00000001	1.00000001	3.00000001	1.00000001	1.0	1.0000000019999997	0.0	0.72
537	1.00000001	1.00000001	3.00000001	1.00000001	1.0	1.0000000019999997	0.0	0.74
538	1.00000002	1.00000002	3.00000001	1.00000002	1.0	0.9999999999999998	0.0	0.76
539	1.00000002	1.00000002	3.00000001	1.00000002	1.0	0.9999999999999998	0.0	0.78
540	1.00000002	1.00000002	3.00000001	1.00000002	1.0	0.9999999999999998	0.0	0.8
541	1.00000003	1.00000003	3.00000001	1.00000003	1.0	0.9999999979999998	0.0	0.8200000000000001
542	1.00000003	1.00000003	3.00000002	1.00000003	1.0	1.0000000019999997	0.0	0.84
543	1.00000004	1.00000004	3.00000002	1.00000004	1.0	0.9999999999999998	0.0	0.86
544	1.00000005	1.00000005	3.00000002	1.00000005	1.0	0.9999999979999998	0.0	0.88
545	1.00000005	1.00000005	3.00000003	1.00000005	1.0	1.0000000019999997	0.0	0.9
546	1.00000006	1.00000006	3.00000003	1.00000006	1.0	0.9999999999999998	0.0	0.92
547	1.00000008	1.00000008	3.00000004	1.00000008	1.0	0.9999999999999998	0.0	0.9400000000000001
548	1.00000009	1.00000009	3.00000004	1.00000009	1.0	0.999999998	0.0	0.96
549	1.0000001	1.0000001	3.00000005	1.0000001	1.0	0.9999999999999998	0.0	0.98
550	1.00000012	1.00000012	3.00000006	1.00000012	1.0	0.9999999999999998	0.0	1.0
551	1.00000014	1.00000014	3.00000007	1.00000014	1.0	0.9999999999999998	0.0	1.02
552	1.00000017	1.00000017	3.00000008	1.00000017	1.0	0.9999999979999998	0.0	1.04
